categoria,pergunta,resposta
medicare-insurance,How Is Medicare Advantage Funded?,"Medicare Advantage plans are similar to traditional major medical plans in that they have copay's and deductibles. But the difference stops there. Most Advantage plans have networks. Some networks are local while others are regional. Some Advantage plans only include coverage if you are treated by a network provider while others will include out of network coverage but with a higher (and usually separate) deductible, higher copay's and higher out of pocket. Exceptions are made to the out of network penalty for true medical emergencies. Make sure you understand all details of the policy, especially your out of pocket maximum. The out of pocket limit does not include non-network benefits or Rx. It also does not include any non-covered medical treatment. In most areas less than half the doctors accept ANY Medicare Advantage plans. Even if your doctor does accept Advantage patients they may not participate in your particular plan."
medicare-insurance,How Is Medicare Advantage Funded?,"When you go on a Medicare Advantage plan, you are opting out of Medicare a & b for the time you are enrolled in the Part C Advantage Plan. Since Medicare does not have the liability of insuring you, they pay most of your premium for you. It's estimated that they pay around $800 monthly to the insurance company that you choose. You pay little or no premium to the company plus your Part B premium."
life-insurance,What Is Credit Life Insurance Used For?,"Credit life insurance is used to guarantee payment of a debt. It was very common at one point in time for a lender to sell credit life insurance to their customers. The way it worked was for the death benefit to start at the entire amount of the loan and decrease as the amount owed decreased. If the customer died, the finance company collected the amount due from the insurance company and the debt was paid off. While, on the surface, this seemed like a good idea, in practice, it wasn't quite so good a deal. If you applied for term life insurance at the level amount of your loan, you could actually buy a lot more life insurance for the same price, and it never decreased. So, if you died, your beneficiary had the control over the death benefit and it was larger. This dirty little secret got out and, today, credit life is all but extinct. That doesn't necessarily mean it's a bad thing, it was just abused and used as a profit center for car dealers and banks. If you really want to protect a debt, talk to a good agent and find the right coverage for your needs."
life-insurance,What Is Credit Life Insurance Used For?,"What is credit life used for? Well mainly credit life is used to help secure a debt repayment in the borrower dies before the debt is repaid. Credit life usually pays the financial institution to cover any remaining debt the insured may have with them. Credit life is pretty expensive per dollar of coverage provided, but most credit life plans accept anyone based on the amount of money borrowed. Credit life is great for those whose health would make the direct purchase of life insurance impossible."
life-insurance,Does USAA Offer Life Insurance?,"Yes, USAA does have life insurance. USAA offers life insurance in the products: Level Term, Military Term, Universal Life, Whole Life, and Combination, per the USAA website. You can compare USAA prices to others by first going to the USAA website to get their quotes, then input your information in a website that offers quotes from many different companies."
health-insurance,What Is The Effective Date Of Health Insurance?,"The effective date of a health insurance plan is the date your coverage starts. It will be different for each person because it depends on when you applied for the coverage and what your requested/approved effective date for coverage is. You can view your plan's effective date inside your policy. If you're unsure what coverage you have and/or what your effective date is, you should contact an experienced health insurance broker who can review these items with and help you find out if there is a plan that will be more suitable to your specific needs. I hope the information is helpful - please feel free to contact me for help and if you have any other questions. Thanks very much."
life-insurance,When Was The First Life Insurance Policy Issued?,"The oldest life insurance policy for which there is surviving evidence was taken out on William Gybbon on June 18, 1583, in London. Mr. Gybbon was a salter of fish and meat for the city of London. He bought a one year policy from Alderman Richard Martin and passed away before the end of the year. At first the company refused to pay, but after some legal wrangling, Martin won."
auto-insurance,What Are The Minimum Requirements For Car Insurance In California?,"The state minimum requirements for auto insurance in California are 15/30/5. This means you have liability limits that will pay up to $15,000 in injuries to any one person and up to $30,000 to all parties you injure. Also you have another $5,000 to pay for any property you damage. In most cases its the other persons car but could be any property. While this is the legal minimum to get you on the road it most certainly is not enough coverage in my opinion, and if a claim against you exceeds the coverage amount you will be sued for the difference by the other party who wants to be made whole again. I recommend you consult with a independent agent to discuss your specific needs. If you have assets you want to protect higher limits are recommended."
auto-insurance,What Are The Minimum Requirements For Car Insurance In California?,"The minimum insurance requirement in California is called the financial responsibility requirement. All drivers in California are required to carry evidence that the car that they are operating is insured to these set standards. The standards are $15,000 per person of bodily injury liability coverage, and $30,000 of bodily injury liability coverage for death to more than one person. There must be %5,000 of property damage liability insurance in place. Insurance isnt mandatory. There can be a cash deposit with the DMV of $35,000, or a certificate of self-insurance issued by the Department of Motor Vehicles of the State of California, or a surety bond for $35,000 issued by a company authorized to do business in California. Insurance is the choice of most vehicle owners. The companies that insure cars in California are required to report the status of the policies of insurance electronically to the DMV. If you decide to no longer operate the automobile and it is not parked on a California highway or street, you must notify the DMV that you are suspending coverage, and why. The minimum coverage law allows you to purchase the most expensive auto insurance policy available. While it may be adequate in many circumstances, in those circumstances where the damages sustained exceed the limits of the policy the vehicle owner will discover that all of their assets are in jeopardy and there will not be anything to help the owner, except bankruptcy."
retirement-plans,When Can I Use My Roth IRA?,"Any IRA, including the ROTH IRA is designed to use after age 59 1/2 otherwise you may have a 10% penalty assessed. You certainly have access to your IRA at any time and in some cases, for ""hardship"" you can withdraw monies prior."
medicare-insurance,How Much Does Medicare Pay?,Medicare pays a significant portion of your hospital stay during the first 60 days after you have satisfied your per benefit period deductible. Medicare also pays 80% of Medicare approved Part B claims after you have fulfilled your annual deductible. When you use providers that accept assignment they cannot balance bill you for excess charges.
auto-insurance,How Much Auto Insurance Coverage Should I Carry?,"Many customers think that having minimal coverage satisfies their need for auto insurance. A recent accident illustrates my point. A man killed a boy in a crosswalk and injured one or two others in the same incident. The settlement for the accident was in excess of $750,000. Under a minimal policy the company would have paid $15,000 and the balance would have been the drivers responsibility. If you want the company to stand with you when the real tragedies of life occur, buy the highest coverage that they will allow."
home-insurance,How Much Should Insurance Cost On A Home?,"There are a number of variables that determine the price of a homeowner's policy. The cost of rebuilding the home is important, as is the location of the property. There is a list of additional coverages and limits that can be selected and this should be done with the assistance of an agent that understands your property and you."
life-insurance,Does Life Insurance Lapse?,"Yes, many people lapse their life insurance policies. It comes from failure to pay enough premium to keep it in force. Most people buy term life insurance for a level premium for 20-years or so. At the 21st year they COULD pay more and keep it going but hardly anyone ever would because the premium at that time would be very high. So the policy will usually lapse. Any type of policy can lapse if you don't pay the premium but term is designed to lapse once you don't need it anymore."
life-insurance,Does Life Insurance Lapse?,"Yes, life insurance can lapse. Failure to pay premiums is the usual reasons or in some cases underpaying premiums on a flexible premium policy can also cause the policy to lapse. Depending on state regulations a company may be required to allow 30-60 days ""grace"" on premiums in arrears before offically cancelling the policy.."
life-insurance,Does Life Insurance Lapse?,"Can life insurance lapse? Yes. There are circumstances when life insurance coverage can lapse: You stop paying premiums. The premiums you pay and accumulated policy cash values are not enough to continue coverage. You stopped paying premiums some time ago, attempting to pay via the cash values and those values are not enough to continue. Youdidn'tpay your premiums on time and not during the grace period."
life-insurance,What Is An Assignee On A Life Insurance Policy?,"An assignee on a life insurance policy is a person or entity to whom life insurance proceeds would be paid to cover a debt or other obligation. Usually, the beneficiary of the policy is stated as the Insured's choice (e.g. spouse). Then an assignment form is filled out which would assign to the lender the amount that is owed at the time of the Insured-borrower's death. The remainder that is left after paying off the loan to the assignee, is given to the beneficiary."
long-term-care-insurance,Is The Cost Of Long Term Care Insurance Tax Deductible?,"Could be. Since I am not a certified accountant, I cannot give tax advice but here are the parameters for possible tax-advantaged treatment to discuss with a tax professional: 1. Every year the IRS publishes the formula of percentage of premium by age that can be used for favorable tax treatment on the 1040 tax return. This formula is updated on various tax preparation software programs every year and certainly qualified tax advisors know what it is. It is also public information that can be obtained at various websites.2. If the premium causes one to exceed the minimum percentage of health care costs on Schedule A, that amount above the minimum percentage could be deductible.3. If one is a business owner, the above mention formula may be used on Schedule C to determine the deduction allowable as an amount paid for health insurance premiums.4. C-corps may be able to ignore the IRS formula and deduct 100% of the long-term care insurance premium on Schedule C.There may be other situations in which the payment of LTCi premium is treated in a tax-favorable manner. This is a topic for discussion with a qualified tax advisor before a consumer should make any assumptions about the tax treatment of the payment of long-term care insurance premiums."
medicare-insurance,When Does Medicare Part B Begin?,"If you signed up for Medicare Part A & Part B during your initial enrollment period, then your effective date will be either the first of the month you turn 65 (this is the case for most individuals) or 2 or 3 months after (if you signed up after the month you turned 65). If you decided to wait because you were still working (e.g. on a group health plan through your employer), then you may be eligible for a special enrollment period and set up an effective date for the first of the following month (you'll likely need to complete the Part B enrollment at your local social security office). If you decided to wait on signing up for Part B and do not have a special enrollment period, then you would be looking at signing up during the general enrollment period (January 1-March 31 of each year). If you're signing up during this window, then your effective date would be July 1."
life-insurance,Is Variable Life Insurance A Good Investment?,"If you are a long term investor that understands market risk and policy expense loads, then read on. If you are in a high tax bracket, then you may want to consider Variable universal life (VUL). The design of a VUL as an investment is so critical to potentialperformance, that only professional proposal experts who are wellacquainted with insurance regulations and taxunderstandingshouldillustrate VUL's. Ifconstructedcorrectly, it maydeliver taxadvantagedmarket returnsover the long haul. Client suitability is paramount. An understanding of risk tolerance is necessary. Be advised...youcouldlose all your money."
home-insurance,Does Homeowners Insurance Cover Ceiling Leaks?,"An important question to ask is what the ceiling leak sudden and accidental? For example did a storm blow through causing the ceiling to leak. If this is a case you should have coverage. However if this is a long standing problem due to wear, tear anddeteriorationmost likely you would not be covered. Talk to your local agent to discussthespecifics of your potential loss."
home-insurance,Does Homeowners Insurance Cover Ceiling Leaks?,"Homeowners Insurance policies generally do cover ceiling leaks; however, one must be cautious on this topic. Primarily, we must discover the cause of loss and make sure that the cause of loss is one of the covered perils on the policy. We must be certain that there were no exclusions on the policy (i.e. Roof Leaking Exclusion). In few situations, a carrier may be willing to insure a home knowing that the roof is not in good condition, it has been known for few carriers to accept a roof exclusion and in this case, the policy would not cover leaks as a result of the known and exluded condition. If the loss is covered, items that will affect the payout of the claim would be Depreciation (if the policy is not a replacement cost policy) and the selected Deductible which will be deducted from the final payout! For information on a homeowners policy, please review the following: WEBSITELINK"
home-insurance,Does Homeowners Insurance Cover Ceiling Leaks?,"Perhaps yes, but it is important to talk to your insurance professional about your policy and the cause of the leak. If the damage is caused by a covered loss, then the claim will be settled but of course subject to your deductible. Here in CT this past winter we once again saw a number of claims lke this that were ice dam related."
home-insurance,Does Homeowners Insurance Cover Ceiling Leaks?,"A homeowners policy covers damages caused by a named peril (i.e. fire.) Deterioration is rarely covered under a homeowners policy. The roof is a piece of the residence that is treated differently when it comes to a claim. Most companies do not replace a roof; rather they pay for the actual cash value of the roof, or the depreciated value. If the roofing is the problem and it is not the result of a storm or something breaking it, then coverage isnt likely."
medicare-insurance,How Long Are Medicare Cards Valid For?,"Medicare cards are valid for as long as you have them. In the United States, Medicare cards do not have an expiration date. If you lose them, you can order a replacement Medicare card. But other than for that purpose, there is not a need to order a new Medicare card."
auto-insurance,Does Car Insurance Affect Motorcycle Insurance?,"It may. Typically it would be by providing a discount for both policies if they are with the same carrier. Other than that I personally cannot think of any other way that your car insurance would affect your motorcycle insurance. If your policies are not with the same carrier now, I would suggest talking with your local agent to find out if you could possibly get both of your policies under the same carrier."
medicare-insurance,Will Medicare Be Around When I Retire?,"There is great political debate about the sustainability of Medicare and other government programs. Obamacare may reallocate some Medicare funds for the overall costs of national health insurance. If the disputes about Medicare were relegated to an actual budget based on the number of increasing retirees and decreasing working population, it appears headed for a short fall."
health-insurance,Does Health Insurance Cover Tubal Ligation Reversal?,"Most frequently health insurance will not cover reversals of elective sterilizations. Carriers tend to approve procedures that either result in a cure, or lower subsequent claims. In this case future claims are likely to be much higher once the ability to conceive is restored. Fifteen states have mandates requiring certain health insurance plans to cover specified infertility treatments. Every single mandate excludes tubal ligation and vasectomy reversal surgery from the requirement. Your best option is purchasing coverage optimized for the resulting pregnancy, and utilizing the un-reimbursed tax deductions to reduce expenses."
health-insurance,Does Health Insurance Cover Tubal Ligation Reversal?,"As long as it's deemed medically necessary by the attending physician, then it should be. The bad news is that most times a tubal ligation is considered an elective procedure, so getting it or getting it reversed won't fall under covered services. An easy way to find out is to contact the benefits verification department of your insurance carrier (the phone number is usually on the insurance cards) and ask specifically if it is a covered service. Please click the ""Contact Me"" button on the left or run a personalized quote at: WEBSITELINK Also, you can call me anytime at: 561-320-2978...I would love to hear from you ."
health-insurance,Is Aetna Health Insurance Any Good?,"I have marketed Aetna health products for more than a decade, and have had fewer few complaints or problems from any of my customers. That side, when it comes to health insurance, there are always some complaints, most ofnte regarding premium increases. In that regard, in most states, Aetna's history of increase tend to be comparable to other companies selling coverage in the same area. When seeking the best coverage for your personal situation, it is always best to contact an licensed, independent agent that works with all of the major companies in your area. Their service is free, and can help you save thousands of dollars in the very near future, especially if you have any major medical claims."
auto-insurance,Does Credit History Affect Auto Insurance?,"Yes it can. Credit is a factor with many companies. Insurance companies give an insurance score. It is different than a credit score. A variety of factors including credit are considered. Some companies still don;t do credit, but usually you will pay a higher rate. The insurance company reasoning is that, by their statistics and experience, a person with bad credit statistically is a higher risk. I know that is not always the case but unfortunately, agree or not (and I don't like it either) that is the facts."
auto-insurance,Does Credit History Affect Auto Insurance?,"A great many auto insurance companies have been using credit history as an underwriting factor for several years now. Naturally, this is coupled with other factors such as age of the driver (s), driving history, loss experience, the type and age of the vehicale(s), registration address etc. Various discounts may also apply that can also affect the final pricing."
auto-insurance,Does Credit History Affect Auto Insurance?,"The credit discount varies by state and insurance company. Check with the Department of Insurance (DOI) with your state to see if it is allowed. Typically each insurance company has their own formula for the discount, and it is considered proprietary information. However, to get a better understanding of factors with your credit score, you should go to www.myfico.com. Although insurance companies aren't looking at your actual score like when you apply for a car loan, many take the following information into consideration when designing their discounting formula: 1. amounts owed 2. payment history 3. credit mix 4. length of credit history 5. new credit Whether you like it or not, this type of discounting is also used frequently for homeowners insurance too and can add up to big savings over time."
annuities,What Would Be Considered A Disadvantage Of Owning A Fixed Annuity?,The major disadvantages of a fixed annuity are: the accumulation is set at a fixed interest rate and does not always keep pace with changes in the market. The owner of the annuity doesnt have any control over the investments that underlie the annuity. When the annuity is converted to lifetime income all control over the value of the annuity is released. These can be seen as disadvantages or advantages depending upon the need of the consumer.
annuities,What Would Be Considered A Disadvantage Of Owning A Fixed Annuity?,"That is a great question! There are two things that could be seen as disadvantages to having a fixed rate annuity. One is inherent in all annuities, and that is the fact that the money is untouchable for several years, without paying penalties to withdraw it. If you change your mind, or feel that it wasn't a good investment, it can be difficult to change without taking a hit financially. Annuities are a bad investment vehicle if you have liquidity issues. The second is that if your're not receiving a rate that will outpace inflation and cover fees, you can actually lose money. If the guaranteed rate say, is 2%, but the fees are 1% and inflation is 1.5%, you are actually losing money. The same could be said if the money invested in the annuity could have brought a higher return invested elsewhere. It's important to really have a good advisor when looking at annuities, especially fixed ones, to ensure you get the best return possible. Thank you for asking!"
health-insurance,Does Health Insurance Cover CPAP?,"Your health insurance plan will most likely cover a CPAP machine provided you meet the criteria of their guidelines. Every plan is different, but the process is similar. You must have had a consult with your PCP who refers you to a sleep study program. The results of your sleep study must be presented to your carrier along with a doctors diagnosis of sleep apnea and a recommendation for a CPAP"
home-insurance,Does Homeowners Insurance Cover Flood Damage?,If this question is referring to flood as in rising water then a homeowners policy will not cover flood damage. Only a flood policy will give you this coverage. If the so called flood was just a bursting pipe in the home then this type of loss would be covered by your homeowners policy.
long-term-care-insurance,Can You Be Denied Long Term Care Insurance?,"Long Term Care Insurance is a morbidity insurance product. Medical underwriting investigates health history and current medical condition. Unlike life insurance which is a mortality insurance product, long term care underwrites prior events both injury and disease. As we age, morbidity events are more likely to occur. If the morbidity underwriting debits are too negative to overcome health credits from an underwriting balance sheet point of view, the application will be denied. Its important to secure long term care insurance when youre young and healthy, when the underwriting classifications are more favorable and the premium is less expensive."
medicare-insurance,Is A Medicare Supplement Necessary?,"It's a personal decision. Many people get a Medigap Plan (aka Medicare Supplement insurance) for peace of mind. Medicare Supplement insurance is designed to fill in the ""gaps"" that Medicare doesn't cover. So, if you stick with just Original Medicare Part A & B, you leave yourself open to paying the 20% that Medicare doesn't cover. In addition, you are responsible for the Part A and Part B deductible. The Part A (Hospital insurance) deductible in 2014 is $1216 The Part B (Medical insurance) deductible in 2014 is $147 I spoke with a Medicare Beneficiary who wanted to add a Medicare Supplement because she had some health issues and the treatment was getting expensive. Unfortunately, she could not get approved for a policy because of her current medical conditions. The point is...we don't have a crystal ball to predict our health. If you're healthy now and it doesn't seem necessary to spend the money on a Medigap Plan, then think about the long term effects. As we age, our health changes and you may end up paying a lot more in medical bills. Thank you for reading my reply. Please let me know if I can be of further assistance."
medicare-insurance,Is A Medicare Supplement Necessary?,"Well, it depends . . . Original Medicare only covers about 80% of your hospital and outpatient charges. Seniors with a healthy bank account may not need or desire to purchase a Medigap (supplement) plan. While you may be healthy now, your health can change at any time. If you are hospitalized 3 times during a calendar year for unrelated medical conditions you will have to pay a deductible of $1184 (2013 Medicare Part A deductible) for each admission. Medicare Part B outpatient charges can become expensive as well. After you have paid the calendar year Part B deductible of $147 (for 2013) you are responsible for 20% of the remaining charges not paid by Medicare. An $800 CAT scan can leave you owing several hundred dollars. Medicare supplement plan F covers 100% of approved Medicare Part A and Part B charges."
medicare-insurance,Is A Medicare Supplement Necessary?,"A Medicare Supplement in my professional opinion is very necessary. When faced with serious health issues you could be faced with thousands of dollars in medical bills if you don't have a Supplement. If you don't have a Medicare Supplement you are responsible for the Part A deductible of $1,260 for an inpatient hospital stay and you can only receive 20 days of Skilled Nursing Care at no cost. Under Part B of Medicare you are responsible for 20% of all Medicare approved charges with no limit on what you could owe. For example, chemotherapy treatments for cancer or kidney dialysis, 20% of those cost are huge. A Medicare Supplement is both a medical and financial necessity."
life-insurance,What Is The Average Cost Of Life Insurance In South Carolina?,"To find the average cost of life insurance in South Carolina, you can go to a website that allows you to input your date of birth, sex, tobacco status, height, weight, and state of residence to get an instant quote. By putting in all types of ages, face amounts and types of insurance, you can see what an average is for those groups. However, serious health conditions can cause far higher premiums, making the average go way up."
home-insurance,What Is Dwelling Coverage In Homeowners Insurance?,"Dwelling coverage is also known as Coverage A in most homeowners policies. The company is obliged to pay for damages sustained to your residence up to the limits of the policy, subject to the stated deductible. It pays these damages if they are caused by a peril that is identified in the policy. Fire is the most commonly identified peril. Many additional perils can be included in the policy but not every peril will be covered. The most notable exceptions to coverage are earthquake and flood. These perils are generally not included except by endorsement."
auto-insurance,Who Is The Cheapest Auto Insurance Alaska?,"Auto insurers price their products based on risk profiles that they like and can vary by geographic areas as precise as zip codes. For this reason, it's not possible to declare on auto insurer as the cheapest in as broad a geographic territory as the entire state of Alaska. You should seek out the assistance of an agent licensed in Alaska who can compare various car insurance quotes for you."
renters-insurance,Who Pays Renters Insurance?,"As is the case with most insurance, the insured is the person who pays the premium for renters insurance under most conditions. It could be an interested, benevolent, third person, however, that would not be normal. Under most circumstances it wouldnt be the landlord, unless he is using a renters policy as an inducement to lease the property."
home-insurance,Does Homeowners Insurance Cover Accidents On Your Property?,"Depending on what type of accident yes it would be covered, If you had a slip and fall situation that would fall under the home owners policy but if you are talking about your car backed into the garage or another car then your auto policy would cover that liability.Also the accident if it was yourself that fell that would fall under a different portion of your home owners policy.I recommend you call your agent or your carrier with the details"
life-insurance,What Does Life Insurance CSV Mean?,"Life Insurance CSV stands for life insurance cash surrender value. If you were to cancel your life Whole or Universal Life insurance policy, it is the amount of money you would get in cash (if any). If you had a return of premium (ROP) Term policy, you could also get some cash value back, if you kept the policy enough years. Regular Term Life does not have cash value."
auto-insurance,Can Car Insurance Deny A Claim?,If the claim is not within the scope of the coverage provided by the policy then yes the insurance carrier may be able to deny the claim. Please remember every policy is different. Please read your policy completely to understand the coverage provided and any exclusions that may be contained within or contact your local agent to have them go over the policy with you.
renters-insurance,Does Renters Insurance Cover Dog Bites?,Your renters insurance policy has a personal liability coverage which may cover a dog bite depending on several factors. The most important is that the type of dog was not an excluded breed by the insurance company and the dog does not have a bit history. Otherwise you should be covered. I recommend you further discuss your specific policy coverage's with your agent.
renters-insurance,Does Renters Insurance Cover Dog Bites?,"Yes it does. You have liability coverage on your Renter's policy. It usually comes with $100,000 of coverge which would cover a dogbite. This is why the agent will ask you if you own adog and what kind. Many companies will not insure you if you own certain breeds such as Pitbulls or Rottweilers."
life-insurance,Who Should Be Trustee Of Irrevocable Life Insurance Trust?,"Many family members and professional associates are eligible. Interestingly, I find that the majority of my clients designate a brother or sister as the trustee. That makes sense. After all, people tend to trust a close family member on life-and-death issues. When the insured is no longer around, a trustworthy soul is needed to handle the money. And also to take care of surviving family members. Siblings fit the bill. But it must be emphasized that trustees have a huge responsibility with regards to the policy inside the trust. They really need to make sure that it is audited on a regular basis to confirm it is performing as expected. You know how people sometimes lose track of their life insurance? How sometimes it doesnt perform according to projections, and additional premium payments are needed? Or it runs out of cash sooner than expected? Or the death benefit gets reduced? Well, if you are the trustee of your brother or sisters life insurance trust, you dont want any of this to happen. You very well could be liable. The insured set up the trust with a strategy designed to provide a certain amount of cash to certain people at certain times. Your job is to make sure the train arrives on schedule. If, for whatever reason, that policy under-performs, the buck could very well stop with you. You do not want that hot potato, both for financial as well as family reasons. You dont want to let the people down whom your sibling trusted you to help. So, if you are the trustee, make sure that policy is audited on a yearly basis, and make any changes that are necessary."
life-insurance,Who Should Be Trustee Of Irrevocable Life Insurance Trust?,"Anyone who is not the insured, the insured's spouse, or beneficiary to the trust. This would be a close friend or family member if the insured feels that this close friend or family member can be trusted. Alternatively, the insured could use professional trustee services found at any Trust company. Additionally, many attorneys will act as trustee for trusts that are drafted. Most of the time, there is a fee paid to the trustee in these last two examples for the services rendered."
medicare-insurance,Does Medicare Pay For Kidney Transplants?,Medicare will pay for kidney transplants for those that are ordered as medically necessary by a doctor and approved by Medicare. The benefit pays for the care given to the person receiving the kidney transplant along with the care for the kidney donor.
home-insurance,Does Homeowners Insurance Cover A Dry Well?,"No, it will not unless it has run dry due to an accident of some sort. Then it may be covered. Please read your policy completely to know what coverage is provided and what exclusions that there may be or contact your local agent to have them go over the policy with you."
annuities,What Are The Best Annuities?,"Annuities are very complex. Selecting the best annuity is a function of needs. At their core annuities provide a lifetime of uninterrupted income. Nothing else can guarantee that result. It takes the risk of outliving your money off the table. The single premium annuities are the basis upon which every other annuity is developed. Development of annuities has followed two general lines. The first is the accumulation of money and the second is the distribution of money. Annuities can be funded with a single premium or a flexible series of premiums. Since the Internal Revenue Code recognizes the value of annuities the growth that the money placed in an annuity experiences is not subject to current income taxes. These deferred tax plans can have powerful advantages over alternative investments. Annuities can earn income in a variety of ways. Some are guaranteed while others are not. Some have guaranteed rates and also allow that the rate can increase as market conditions make that possible. There are many schemes to determine interest rates but many contracts guarantee a minimum rate below which they will not fall. Annuities are often sold with interest bonuses for a specified period of time. These bonuses are inducements to purchase the annuity but are often tied to the surrender period of the contract. Since an annuity is a long term cash accumulation plan withdrawing money early from the contract is subject to surrender charges over a specified period of time in most contracts. There are a number of ways benefits can be paid under annuities because there are a wide variety of needs. The traditional way is in a lifetime flow of regular payments. When a person is concerned that they might make a deposit and then die shortly afterwards there are options that can be selected that make payments for a specified period of time to either the annuitant or beneficiary. Others make lifetime payments as long as one of two people is alive. There are even options that make lifetime payments as long as one of two people are alive but will pay a beneficiary if both die prior to the end of a certain period of time. In addition to options that provide a benefit for a period certain, there are also similar options for return of deposit. There are annuities that defer the payment of the benefit for an extended period of time. The advantage of this type of annuity as that you are able to purchase an amount of money that wont be delivered for a long time and all that growth and interest is being deferred from current income tax. These policies can make a tremendous increase in income and may be used to offset anticipated cost of living increases. Annuities come with several riders that guarantee various aspects of the contract. When the cash value of the annuity isnt guaranteed you can purchase a rider that will pay a specified lifetime income even if the account balance is exhausted. Annuities are complicated and there are companies trying new ideas every day. You will probably find that there is an annuity that will play an important role in your retirement income planning."
auto-insurance,What Does It Take To Sell Auto Insurance?,"Each state is a little different, so you would want to check with the department of insurance in your resident state for specific guidelines. First, you need a Property & Casulaty insurancelicense. Typically you must take some required courses to be eligible to sit for this exam. Once you pass the exam, you are technicaly and insurance ""producer"" or licensed agent so then you need a product to sell. Best thing to do here is to try and get on with an established agency. Here you can gain valuable experience and knowledge and hopefully have good products to sell. Going it alone right out of the gate would be a challenge as well as a fairly big financial risk. You need markets, E&O insurance, training, knowledge, etc. etc. etc.......To get the E&O, you often times need experience or the price can be quite high. To gain market access, you need experience and proof of past performance to get direct contracts with carriers. You can sign up with some quality brokers out in the market place for access and that isn't a bad way to start out."
home-insurance,Does Home Insurance Typically Cover Pet Damage?,"Bad dog! Fido! How could you do that? No Beggin Strips for you for a year and you can forget about that brand new diamond-studded flea collar. And...you're sleeping in the garage tonight, not in your bed upstairs! OK...Back to the question. Often, the liability portion of your policy covers damage that your pet may have caused to other persons outside of your home."
medicare-insurance,What Are Medicare Part B Drugs?,"Medicare Part B medications are usually provided and given by someone in the doctors office as part of a treatment. There are a couple of exceptions that may be picked up at a local drug store. These include medications to be used in a nebulizer, medications to prevent rejection of a transplanted organ, and diabetic testing supplies. If your doctor wants you to pick any of these up, make sure that the prescription is written following CMS directions or the pharmacy will not be able to bill Medicare. This includes having the diagnosis code written on the prescription, exact quantities and frequency of use, and your name, date of birth, and address written on the prescription."
health-insurance,How Much Is The Penalty For No Health Insurance?,"The penalty tax for individuals starts out at the greater of $95 per year or 1% of your AGI (adusted gross income). The penalty tax for companies is more complex and higher. Each year the fine increases, but that is nominal compared to having to pay out of pocket for a large claim without the benefit of health insurance."
health-insurance,How Much Is The Penalty For No Health Insurance?,"Under the affordable care act, everyone will have to have health insurance or pay a penalty (also known as an ""individual shared responsibility payment""). If you choose to pay the penalty instead of securing coverage, you will still be responsible for 100% of your medical care. The penalty is calculated in one of two ways (you pay whichever is the higher amount). In 2014, the penalties will be calculated as: 1) 1% of your yearly household income featuring a maximum penalty as the national average yearly premium for a bronze plan. 2) $95 per person for the year (If under age 18, then $47.50) featuring a maximum penalty per family of $285 under this method. The penalty calculations will change each year. In 2015, method one increases to 2% of your yearly household income and method two increases to $325 per person. In 2016, it will increase again to 2.5% for method one and $695 per person for method two. The penalty methods will be adjusted for inflation in later years. I hope the information is helpful - please feel free to contact me for help with your coverage or if you have any other questions. Thanks very much."
life-insurance,Can An 80 Year Old Person Get Life Insurance?,"While it's possible for an 80 year old to get life insurance, it can sometimes be a bit of a process. At 80 one might still qualify for certain simplified issue policies. Simplified issue simply means that the normal medical underwriting requirements might not be quite as invasive as they would otherwise be. If the individual is in superlative health, he or she can also entertain a fully underwritten policy, meaning he or she will undergo pretty extensive medical underwriting in order to qualify for the life insurance policy. This would be the cheaper option per dollar of death benefit purchased, but requires the proposed insured to be in excellent health. If someone this age is considering life insurance time is of the essence as many carriers cutoff eligibility after age 80 and many more cutoff at age 85. Very few will go up to age 90, which is where almost all stop issuing policies."
life-insurance,Can An 80 Year Old Person Get Life Insurance?,"Yes, an 80 year old person can get life insurance if they do not have a very serious health condition. There are final expense policies that can be purchased at age 80, which are whole life and usually have a maximum face amount of about $25,000. There are also medically underwritten policies up to any amount that can be bought by seniors of pretty good health."
annuities,Is A 1099-R Generated For An Ownership Change On A Nonqualified Deferred Annuity?,A 1099 is not generated on a non-qualified annuity until such time as the funds are withdrawn. The 1099 will then just represent the gain on the annuity and not the principal amount. There could be consequences of the transfer depending on the amount of the transfer as it could have gift tax consequences.
retirement-plans,Who Governs 401K Plans?,"A defined contribution pension plan established by an employer under section 401(k) of the Internal Revenue Code is what is popular called a, 401(k) The program itself is designed for the employer. Administration of the plan may be handled directly by the employer or by a third-party administrator. The fiduciary requirements are with the employer; however, these may be contracted to another party as well."
life-insurance,Does Life Insurance Cover Car Accidents?,"Life insurance covers death that is due to accidental causes, such as car accidents or falls. Life insurance also covers death that is due to natural causes, such as illness or ""old age"". As long as it is not suicide in the first two years, you don't have to worry about the cause of death when you have life insurance."
life-insurance,Does Life Insurance Cover Car Accidents?,"No. Life insurance only pays a claim upon the death of the insured. If the insured dies in a car accident, then a claim can be made on the policy. If the insured is living and they are in a car accident, they would need to look at coverage under their auto insurance policy."
life-insurance,Does Life Insurance Cover Car Accidents?,Most young people are convinced that if they die prematurely it will be in a car accident. The cause of death is not the critical issue. If the person is killed in a crash the company will pay a death claim unless the accident was in fact proven to be suicide. If the policy has an accidental death benefit provision additional money will be paid.
